,한글이름,영어이름,한글정보,영어정보,한글정보2,영어정보2,한글정보3,영어정보3,아이디,이미지,체력,공격,방어,특수공격,특수방어,스피드,타입
501,수댕이,Oshawott,해달포켓몬,Sea Otter Pokémon,배에 생기는 가리비칼은 싸울 때뿐 아니라 딱딱한 나무열매를 쪼갤 때도 사용한다.,"It fights using the scalchop on its stomach. In response to an attack, it retaliates immediately by slashing.",배에 있는 가리비칼로 싸운다. 공격을 막고 그 즉시 베어 반격한다.,"This Pokémon from the Unova region uses the shell on its belly as a weapon to cut down its foes. Thus, I've conferred upon this shell the name ”scalchop”.",501,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/501.png,55,55,45,63,45,45,water
502,쌍검자비,Dewott,수행포켓몬,Discipline Pokémon,물 흐르는 듯한 칼솜씨로 2개의 가리비칼을 사용하는 기술은 엄격한 수련을 통해 익힌 것이다.,Strict training is how it learns its flowing double-scalchop technique.,혹독한 수행 끝에 쌍검자비마다 다른 형태의 가리비칼 다루는 기술을 습득한다.,"Its exquisite double-scalchop technique is likely the result of daily training, and it can send even masters of the blade fleeing in defeat.",502,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/502.png,75,75,60,83,60,60,water
503,대검귀,Samurott,관록포켓몬,Formidable Pokémon,상대가 눈을 깜빡이는 동안에 앞다리에 붙어 있는 각검으로 상대를 베고 원래대로 되돌린다.,One swing of the sword incorporated in its armor can fell an opponent. A simple glare from one of them quiets everybody.,갑옷에 내장된 검으로 한칼에 상대를 제압한다. 눈빛만으로 상대를 침묵시킨다.,"Hard of heart and deft of blade, this rare form of Samurott is a product of the Pokémon's evolution in the region of Hisui. Its turbulent blows crash into foes like ceaseless pounding waves.",503,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/503.png,95,100,85,108,70,70,water
504,보르쥐,Patrat,망보기포켓몬,Scout Pokémon,볼의 주머니에 먹이를 모아두고 며칠이고 망보기를 계속한다. 꼬리로 동료에게 신호한다.,"Using food stored in cheek pouches, they can keep watch for days. They use their tails to communicate with others.",경계심이 강해서 반드시 한 마리는 망을 보고 있으나 뒤에서 오는 상대는 알아차리지 못한다.,"Extremely cautious, one of them will always be on the lookout, but it won’t notice a foe coming from behind.",504,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/504.png,45,55,39,35,39,42,normal
505,보르그,Watchog,경계포켓몬,Lookout Pokémon,체내의 발광물질로 눈이나 몸을 빛나게 하여 습격해 온 상대를 풀이 죽게 만든다.,"When they see an enemy, their tails stand high, and they spit the seeds of berries stored in their cheek pouches.",뺨의 주머니에 모아둔 나무열매의 씨앗을 날려서 공격한다. 적을 발견하면 꼬리를 세운다.,"When they see an enemy, their tails stand high, and they spit the seeds of berries stored in their cheek pouches.",505,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/505.png,60,85,69,60,69,77,normal
506,요테리,Lillipup,강아지포켓몬,Puppy Pokémon,얼굴을 둘러싼 긴 털은 우수한 레이더다. 주위 상황을 민감히 살핀다.,"It faces strong opponents with great courage. But, when at a disadvantage in a fight, this intelligent Pokémon flees.",또래의 아이보다 훨씬 영리하다. 사랑받은 것도 혼난 것도 잊지 않는다.,"This Pokémon is far brighter than the average child, and Lillipup won’t forget the love it receives or any abuse it suffers.",506,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/506.png,45,60,45,25,45,55,normal
507,하데리어,Herdier,충견포켓몬,Loyal Dog Pokémon,트레이너를 도와주면서 다른 포켓몬을 돌보기도 하는 매우 충실한 포켓몬.,"It has black, cape-like fur that is very hard and decreases the amount of damage it receives.",몸을 뒤덮은 검은 털은 두껍고 탄력이 있다. 날카로운 이빨도 튕겨낸다.,The black fur that covers this Pokémon’s body is dense and springy. Even sharp fangs bounce right off.,507,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/507.png,65,80,65,35,65,60,normal
508,바랜드,Stoutland,관대포켓몬,Big-Hearted Pokémon,눈보라로 길이 막힌 산에 들어가 조난된 사람을 구해준다. 긴 털이 추위를 막는다.,It rescues people stranded by blizzards in the mountains. Its shaggy fur shields it from the cold.,훌륭한 수염이 특징인 포켓몬이다. 그 길이로 동료들과 우열을 가린다고 한다.,Stoutland is immensely proud of its impressive moustache. It’s said that moustache length is what determines social standing among this species.,508,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/508.png,85,110,90,45,90,80,normal
509,쌔비냥,Purrloin,성악포켓몬,Devious Pokémon,귀여운 행동으로 방심하게 한 후 그 틈에 지닌 물건을 빼앗아 간다. 화가 나면 손톱을 세워서 반격한다.,"They steal from people for fun, but their victims can’t help but forgive them. Their deceptively cute act is perfect.",귀여운 동작으로 방심시키고 상대가 다가오면 갑자기 발톱으로 할퀴고는 웃는다.,Opponents that get drawn in by its adorable behavior come away with stinging scratches from its claws and stinging pride from its laughter.,509,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/509.png,41,50,37,50,37,66,dark
510,레파르다스,Liepard,냉혹포켓몬,Cruel Pokémon,아름다운 스타일은 전신의 발달한 근육 덕분이다. 소리도 내지 않고 밤을 달린다.,These Pokémon vanish and appear unexpectedly. Many Trainers are drawn to their beautiful form and fur.,폭슬라이와 영역을 두고 다툰다. 소리를 전혀 내지 않고 먹이의 배후에 접근한다.,This stealthy Pokémon sneaks up behind prey without making any sound at all. It competes with Thievul for territory.,510,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/510.png,64,88,50,88,50,106,dark
511,야나프,Pansage,풀원숭이포켓몬,Grass Monkey Pokémon,기운이 없는 포켓몬에게 머리의 잎사귀를 나눠준다. 피로를 풀어주는 효과가 있다.,This Pokémon dwells deep in the forest. Eating a leaf from its head whisks weariness away as if by magic.,나무열매를 잘 찾아 여기저기에서 모아 동료에게 나누어 주는 상냥함을 가졌다.,It’s good at finding berries and gathers them from all over. It’s kind enough to share them with friends.,511,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/511.png,50,53,48,53,48,64,grass
512,야나키,Simisage,가시원숭이포켓몬,Thorn Monkey Pokémon,가시가 잔뜩 박힌 꼬리를 상대에게 힘껏 쳐서 공격한다. 기질이 격한 포켓몬이다.,"Ill tempered, it fights by swinging its barbed tail around wildly. The leaf growing on its head is very bitter.",기질이 격하여 가시가 박힌 꼬리를 휘두르며 싸운다. 머리의 잎사귀는 매우 쓰다.,"Ill tempered, it fights by swinging its barbed tail around wildly. The leaf growing on its head is very bitter.",512,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/512.png,75,98,63,98,63,101,grass
513,바오프,Pansear,고온포켓몬,High Temp Pokémon,지능이 높고 나무열매는 구운 뒤 먹는 습성이 있다. 사람 도와주기를 좋아한다.,"When it is angered, the temperature of its head tuft reaches 600° F. It uses its tuft to roast berries.",화산 동굴에서 산다. 머리의 송아리 속이 불타고 있어 300도나 되는 높은 온도가 된다.,This Pokémon lives in caves in volcanoes. The fire within the tuft on its head can reach 600 degrees Fahrenheit.,513,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/513.png,50,53,48,53,48,64,fire
514,바오키,Simisear,불티포켓몬,Ember Pokémon,몸속에서 태운 불꽃을 머리나 꼬리로 흩뿌려서 상대를 태운다.,It loves sweets because they become energy for the fire burning inside its body.,흥분하면 머리나 꼬리에서 불티가 날아올라 뜨거워진다. 왜인지 달콤한 것을 매우 좋아한다.,"When it gets excited, embers rise from its head and tail and it gets hot. For some reason, it loves sweets.",514,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/514.png,75,98,63,98,63,101,fire
515,앗차프,Panpour,물뿌리기포켓몬,Spray Pokémon,머리 송아리에 모은 물은 영양 듬뿍. 꼬리를 사용해서 그 물을 초목에 뿌린다.,The water stored inside the tuft on its head is full of nutrients. Plants that receive its water grow large.,머리의 송아리에 모은 물은 영양이 가득하다. 식물에 뿌려주면 크게 자란다.,The water stored inside the tuft on its head is full of nutrients. Plants that receive its water grow large.,515,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/515.png,50,53,48,53,48,64,water
516,앗차키,Simipour,방수포켓몬,Geyser Pokémon,꼬리에서 발사하는 고압의 물은 콘크리트 벽도 파괴할 수 있는 위력을 지녔다.,"The tuft on its head holds water. When the level runs low, it replenishes the tuft by siphoning up water with its tail.",물이 깨끗한 장소를 좋아한다. 머리에 모아둔 물이 줄어들면 꼬리에서 빨아올려 보급한다.,"It prefers places with clean water. When its tuft runs low, it replenishes it by siphoning up water with its tail.",516,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/516.png,75,98,63,98,63,101,water
517,몽나,Munna,꿈먹기포켓몬,Dream Eater Pokémon,나쁜 꿈에 시달리고 있는 포켓몬이나 사람 앞에 나타나 그 꿈을 먹어버리는 포켓몬.,Munna always float in the air. People whose dreams are eaten by them forget what the dreams had been about.,꿈을 먹고 연기를 내뿜는다. 즐거운 꿈이면 핑크색이고 악몽이면 거무스름하다.,"It eats dreams and releases mist. The mist is pink when it’s eating a good dream, and black when it’s eating a nightmare.",517,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/517.png,76,25,45,67,55,24,psychic
518,몽얌나,Musharna,꿈결포켓몬,Drowsing Pokémon,이마에서 나오는 연기 속에는 사람이나 포켓몬이 꾼 꿈이 많이 모여 있다.,The mist emanating from their foreheads is packed with the dreams of people and Pokémon.,언제나 선잠을 자며 꿈을 꾼다. 잠에서 깨면 매우 불쾌해하므로 가만히 내버려 두자.,"It drowses and dreams all the time. It’s best to leave it be if it’s just woken up, as it’s a terrible grump when freshly roused from sleep.",518,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/518.png,116,55,85,107,95,29,psychic
519,콩둘기,Pidove,아기비둘기포켓몬,Tiny Pigeon Pokémon,매우 건망증이 심한 포켓몬으로 트레이너에게 명령을 받았어도 새로운 명령을 기다리고 있다.,"Each follows its Trainer’s orders as best it can, but they sometimes fail to understand complicated commands.",건망증이 심하고 영리하지 않지만 사람을 잘 따르고 착실해서 귀여워하는 트레이너가 많다.,"It’s forgetful and not very bright, but many Trainers love it anyway for its friendliness and sincerity.",519,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/519.png,50,55,50,36,30,43,normal
520,유토브,Tranquill,들비둘기포켓몬,Wild Pigeon Pokémon,유토브가 사는 숲 속에는 싸움이 없는 평화로운 나라가 있다고 믿어진다.,It can return to its Trainer’s location regardless of the distance separating them.,영리하고 기억력이 좋다. 배달원이 파트너로 선택하는 경우가 많다.,These bright Pokémon have acute memories. Apparently delivery workers often choose them as their partners.,520,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/520.png,62,77,62,50,42,65,normal
521,켄호로우,Unfezant,프라이드포켓몬,Proud Pokémon,수컷은 머리의 장식을 흔들어서 상대를 위협한다. 암컷의 비행 능력은 수컷을 뛰어넘는다.,Males swing their head plumage to threaten opponents. The females’ flying abilities surpass those of the males.,영리한 만큼 프라이드도 높다. 켄호로우의 트레이너가 되면 모두에게 실력을 인정받는다.,This Pokémon is intelligent and intensely proud. People will sit up and take notice if you become the Trainer of one.,521,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/521.png,80,115,80,65,55,93,normal
522,줄뮤마,Blitzle,하전포켓몬,Electrified Pokémon,번개 구름이 하늘을 뒤덮으면 나타난다. 갈기로 번개를 붙잡아 전기를 모은다.,"When thunderclouds cover the sky, it will appear. It can catch lightning with its mane and store the electricity.",방전하면 갈기가 빛난다. 갈기가 빛나는 횟수나 리듬으로 동료와 대화한다.,Its mane shines when it discharges electricity. They use the frequency and rhythm of these flashes to communicate.,522,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/522.png,45,60,32,50,32,76,electric
523,제브라이카,Zebstrika,뇌전포켓몬,Thunderbolt Pokémon,격렬한 기질의 소유자. 날뛰면 갈기에서 번개를 사방팔방으로 방전한다.,"They have lightning-like movements. When Zebstrika run at full speed, the sound of thunder reverberates.",천둥번개 같은 순발력을 가지고 있다. 제브라이카가 전속력으로 달리면 천둥소리가 울려 퍼진다.,"They have lightning-like movements. When Zebstrika run at full speed, the sound of thunder reverberates.",523,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/523.png,75,100,63,80,63,116,electric
524,단굴,Roggenrola,맨틀포켓몬,Mantle Pokémon,육각형 귀를 가지고 있다. 땅속 깊은 곳에서 압축된 몸은 철 못지않게 단단하다.,"Its ear is hexagonal in shape. Compressed underground, its body is as hard as steel.",소리에 반응해 움직인다. 에너지 코어의 영향으로 만지면 조금 따듯하다.,"When it detects a noise, it starts to move. The energy core inside it makes this Pokémon slightly warm to the touch.",524,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/524.png,55,75,85,25,25,15,rock
525,암트르,Boldore,광석포켓몬,Ore Pokémon,체내에서 처리되지 못하고 빠져나온 에너지가 덩어리져서 주황색 결정이 되었다.,"When it overflows with power, the orange crystal on its body glows. It looks for underground water in caves.",소리로 주위 상황을 살핀다. 화나게 하면 몸의 방향을 바꾸지 않은 채로 쫓아온다.,"It relies on sound in order to monitor what’s in its vicinity. When angered, it will attack without ever changing the direction it’s facing.",525,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/525.png,70,105,105,50,40,20,rock
526,기가이어스,Gigalith,고압포켓몬,Compressed Pokémon,거두어들인 태양광선을 에너지 코어로 반응시켜 빛의 구슬로 쏘아낸다.,Compressing the energy from its internal core lets it fire off an attack capable of blowing away a mountain.,맑은 날에만 쏠 수 있지만 에너지탄의 파괴력은 덤프트럭도 날려버릴 정도다.,"Although its energy blasts can blow away a dump truck, they have a limitation— they can only be fired when the sun is out.",526,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/526.png,85,135,130,60,80,25,rock
527,또르박쥐,Woobat,박쥐포켓몬,Bat Pokémon,어두운 숲이나 동굴에서 산다. 콧구멍에서 초음파를 쏘아 주변의 모습을 살핀다.,Its habitat is dark forests and caves. It emits ultrasonic waves from its nose to learn about its surroundings.,초음파를 발산하면서 흔들흔들 날아다닌다. 먹이인 벌레포켓몬을 찾고 있다.,"It emits ultrasonic waves as it flutters about, searching for its prey—bug Pokémon.",527,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/527.png,65,45,43,55,43,72,psychic
528,맘박쥐,Swoobat,구애포켓몬,Courting Pokémon,콘크리트도 부술 정도로 강한 초음파를 낼 때 꼬리가 심하게 흔들린다.,"It emits sound waves of various frequencies from its nose, including some powerful enough to destroy rocks.",코의 모양이 복스럽다고 행복을 부르는 상징으로 여기는 지역도 있다고 한다.,The auspicious shape of this Pokémon’s nose apparently led some regions to consider Swoobat a symbol of good luck.,528,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/528.png,67,57,55,77,55,114,psychic
529,두더류,Drilbur,두더지포켓몬,Mole Pokémon,양손의 손톱을 서로 겹치고 몸을 고속 회전시키면서 맹렬한 속도로 땅속을 헤쳐나간다.,It can dig through the ground at a speed of 30 mph. It could give a car running aboveground a good race.,손톱으로 땅속을 파고 다니면서 키우는 채소를 해치기 때문에 농업 종사자들이 싫어한다.,"It’s a digger, using its claws to burrow through the ground. It causes damage to vegetable crops, so many farmers have little love for it.",529,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/529.png,60,85,40,30,45,68,ground
530,몰드류,Excadrill,땅밑포켓몬,Subterrene Pokémon,강철로 진화한 드릴은 철판을 뚫는 파괴력을 가졌다. 터널 공사에서 크게 활약한다.,It can help in tunnel construction. Its drill has evolved into steel strong enough to bore through iron plates.,별명은 드릴킹이다. 땅속을 파는 속도는 시속 150km에 달한다.,"Known as the Drill King, this Pokémon can tunnel through the terrain at speeds of over 90 mph.",530,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/530.png,110,135,60,50,65,88,ground
531,다부니,Audino,히어링포켓몬,Hearing Pokémon,귀의 더듬이로 상대의 컨디션이나 알에서 포켓몬이 언제 나올지도 알 수 있다.,"It touches others with the feelers on its ears, using the sound of their heartbeats to tell how they are feeling.",마음 착한 포켓몬이다. 더듬이를 갖다 대어 상대의 마음과 몸 상태를 파악한다.,"This Pokémon has a kind heart. By touching with its feelers, Audino can gauge other creatures’ feelings and physical conditions.",531,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/531.png,103,60,86,60,86,50,normal
532,으랏차,Timburr,근골포켓몬,Muscular Pokémon,항상 각목을 끼고 있다. 건설 현장에 나타나 공사를 도와주는 포켓몬이다.,It fights by swinging a piece of lumber around. It is close to evolving when it can handle the lumber without difficulty.,자신의 3배 정도의 각목을 들 수 있게 된 으랏차는 머지않아 진화하게 된다.,Timburr that have started carrying logs that are about three times their size are nearly ready to evolve.,532,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/532.png,75,80,55,25,35,35,fighting
533,토쇠골,Gurdurr,근골포켓몬,Muscular Pokémon,단련된 근육의 소유자. 철골을 능숙하게 조종하여 집을 해체해준다.,This Pokémon is so muscular and strongly built that even a group of wrestlers could not make it budge an inch.,철골을 자유자재로 다룬다. 해체는 잘하지만 무언가를 조립하는 것은 서툴다.,"Gurdurr excels at demolition—construction is not its forte. In any case, there’s skill in the way this Pokémon wields its metal beam.",533,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/533.png,85,105,85,40,50,40,fighting
534,노보청,Conkeldurr,근골포켓몬,Muscular Pokémon,콘크리트를 만드는 기술은 2000년 전에 노보청에게 배운 것이라고 여겨지고 있다.,"It is thought that Conkeldurr taught humans how to make concrete more than 2,000 years ago.",정말 싸울 생각이면 콘크리트 기둥을 버리고 주먹 하나로 상대를 노리고 덤벼든다.,"When going all out, this Pokémon throws aside its concrete pillars and leaps at opponents to pummel them with its fists.",534,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/534.png,105,140,95,55,65,45,fighting
535,동챙이,Tympole,올챙이포켓몬,Tadpole Pokémon,볼의 진동막을 떨어 사람에게는 들리지 않는 음파를 내어 동료에게 위험을 전달한다.,They warn others of danger by vibrating their cheeks to create a high-pitched sound.,음파로 동료와 연락한다. 경계하는 울음소리는 사람이나 다른 포켓몬에게 들리지 않는다.,It uses sound waves to communicate with others of its kind. People and other Pokémon species can’t hear its cries of warning.,535,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/535.png,50,50,40,50,40,64,water
536,두까비,Palpitoad,진동포켓몬,Vibration Pokémon,머리의 혹을 진동시키면 물속에 파동이 일어나며 땅마저 지진처럼 흔들린다.,"When they vibrate the bumps on their heads, they can make waves in water or earthquake-like vibrations on land.",고운 목소리로 울 때도 있다. 몸의 돌기가 클수록 넓은 음역으로 울 수 있다.,"On occasion, their cries are sublimely pleasing to the ear. Palpitoad with larger lumps on their bodies can sing with a wider range of sounds.",536,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/536.png,75,65,55,65,55,69,water
537,두빅굴,Seismitoad,진동포켓몬,Vibration Pokémon,주먹의 혹을 진동시켜 펀치의 위력을 배가시킨다. 일격에 큰 바위를 부스러뜨린다.,They shoot paralyzing liquid from their head bumps. They use vibration to hurt their opponents.,혹이 일으키는 바이브레이션이 마사지에 좋다고 노인에게 인기가 높은 포켓몬이다.,"This Pokémon is popular among the elderly, who say the vibrations of its lumps are great for massages.",537,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/537.png,105,95,75,85,75,74,water
538,던지미,Throh,유도포켓몬,Judo Pokémon,끈을 매면 파워가 올라간다. 야생 던지미는 덩굴풀을 엮어 자신의 띠를 만든다.,"When it tightens its belt, it becomes stronger. Wild Throh use vines to weave their own belts.",5마리의 무리가 수련한다. 수련에 뒤떨어지면 띠를 버리고 무리를 떠난다.,They train in groups of five. Any member that can’t keep up will discard its belt and leave the group.,538,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/538.png,120,100,85,30,85,45,fighting
539,타격귀,Sawk,태권도포켓몬,Karate Pokémon,최강의 태권당수를 목표로 산속에 틀어박혀 잠도 없이 수행한다.,The sound of Sawk punching boulders and trees can be heard all the way from the mountains where they train.,단련하고 단련한 타격귀가 사용하는 필살 태권당수는 바다도 가를 정도의 파괴력을 지녔다.,The karate chops of a Sawk that’s trained itself to the limit can cleave the ocean itself.,539,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/539.png,75,125,75,30,75,85,fighting
540,두르보,Sewaddle,재봉포켓몬,Sewing Pokémon,잎사귀를 물어뜯어 입에서 뱉어낸 점착실로 꿰맨다. 스스로 옷을 만드는 포켓몬이다.,Leavanny dress it in clothes they made for it when it hatched. It hides its head in its hood while it is sleeping.,잎사귀로 옷을 만들기 때문에 패션 디자이너에게 마스코트로 인기가 있다.,"Since this Pokémon makes its own clothes out of leaves, it is a popular mascot for fashion designers.",540,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/540.png,45,53,70,40,60,42,bug
541,두르쿤,Swadloon,잎숨기포켓몬,Leaf-Wrapped Pokémon,두르쿤이 사는 숲은 초목이 잘 자란다. 두르쿤이 낙엽을 영양분으로 바꾸기 때문이다.,Forests where Swadloon live have superb foliage because the nutrients they make from fallen leaves nourish the plant life.,잎사귀로 몸을 감싸 추위를 막는다. 가까이 있는 낙엽을 먹으며 숲을 이동한다.,"It protects itself from the cold by wrapping up in leaves. It stays on the move, eating leaves in forests.",541,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/541.png,55,63,90,50,80,42,bug
542,모아머,Leavanny,육아포켓몬,Nurturing Pokémon,어린 포켓몬을 보면 입에서 내뿜는 점착실로 잎사귀의 옷을 지어 준다.,"Upon finding a small Pokémon, it weaves clothing for it from leaves, using the cutters on its arms and sticky silk.",낙엽이 발효되는 열로 알을 따뜻하게 한다. 잎사귀로 두르보의 포대기를 만든다.,It keeps its eggs warm with heat from fermenting leaves. It also uses leaves to make warm wrappings for Sewaddle.,542,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/542.png,75,103,80,70,80,92,bug
543,마디네,Venipede,지네포켓몬,Centipede Pokémon,머리와 꼬리의 더듬이로 주변 상황을 살핀다. 성격이 매우 난폭하다.,"Its bite injects a potent poison, enough to paralyze large bird Pokémon that try to prey on it.",이빨에 맹독을 지녔다. 먹을 수 있는 먹이를 발견하면 앞뒤를 가리지 않고 덤벼든다.,"Its fangs are highly venomous. If this Pokémon finds prey it thinks it can eat, it leaps for them without any thought of how things might turn out.",543,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/543.png,30,45,59,30,39,57,bug
544,휠구,Whirlipede,눈썹지네포켓몬,Curlipede Pokémon,단단한 껍질로 보호되고 있다. 타이어처럼 회전하여 상대에게 격렬히 몸통박치기를 날린다.,"Protected by a hard shell, it spins its body like a wheel and crashes furiously into its enemies.",단단한 껍질과 독가시로 몸을 보호하면서 진화에 필요한 에너지를 비축하고 있다.,Whirlipede protects itself with a sturdy shell and poisonous spikes while it stores up the energy it’ll need for evolution.,544,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/544.png,40,55,99,40,79,47,bug
545,펜드라,Scolipede,메가지네포켓몬,Megapede Pokémon,먹이를 목의 가시에 끼워 넣어 움직이지 못하게 한 후 맹독을 퍼뜨려 마무리한다.,"With quick movements, it chases down its foes, attacking relentlessly with its horns until it prevails.",영역을 두고 다태우지네와 격렬하게 다툰다. 패배한 쪽이 그대로 먹이가 된다.,"Scolipede engage in fierce territorial battles with Centiskorch. At the end of one of these battles, the victor makes a meal of the loser.",545,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/545.png,60,100,89,55,69,112,bug
546,소미안,Cottonee,솜뭉치포켓몬,Cotton Puff Pokémon,공격당하면 몸에서 솜을 날린다. 상대가 솜을 소미안으로 착각하고 있는 동안 도망친다.,"When attacked, it escapes by shooting cotton from its body. The cotton serves as a decoy to distract the attacker.",소미안과 백솜모카의 솜을 섞어 짠 천은 아름다워서 고급 브랜드에 사용된다.,Weaving together the cotton of both Cottonee and Eldegoss produces exquisite cloth that’s highly prized by many luxury brands.,546,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/546.png,40,27,60,37,50,66,grass
547,엘풍,Whimsicott,바람숨기포켓몬,Windveiled Pokémon,회오리바람과 함께 나타나 집 안의 가구를 움직이거나 솜을 남기는 장난을 친다.,"Like the wind, it can slip through any gap, no matter how small. It leaves balls of white fluff behind.",햇빛을 받을수록 솜이 부풀어 오른다. 너무 부풀면 찢어져 주위로 흩어진다.,"As long as this Pokémon bathes in sunlight, its cotton keeps growing. If too much cotton fluff builds up, Whimsicott tears it off and scatters it.",547,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/547.png,60,67,85,77,75,116,grass
548,치릴리,Petilil,뿌리포켓몬,Bulb Pokémon,머리의 잎사귀를 갉아먹으면 매우 쓰지만 지친 몸을 회복시켜주는 효과가 있다.,The leaves on its head are very bitter. Eating one of these leaves is known to refresh a tired body.,잎사귀의 색이 짙을수록 건강하다. 잘 정돈된 밭이나 화단에 자리잡고 살기도 한다.,"The leaves on its head are highly valued for medicinal purposes. Dry the leaves in the sun, boil them, and then drink the bitter decoction for remarkably effective relief from fatigue.",548,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/548.png,45,35,50,70,50,30,grass
549,드레디어,Lilligant,꽃장식포켓몬,Flowering Pokémon,머리에 있는 꽃 장식의 향기에는 긴장을 풀어 주는 효과가 있다. 자주 손질하지 않으면 시들어 버린다.,Even veteran Trainers face a challenge in getting its beautiful flower to bloom. This Pokémon is popular with celebrities.,꽃으로 만든 정유는 최고의 향을 내지만 눈이 튀어나올 정도로 비싸다.,I suspect that its well-developed legs are the result of a life spent on mountains covered in deep snow. The scent it exudes from its flower crown heartens those in proximity.,549,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/549.png,70,60,75,110,75,90,grass
550,배쓰나이,Basculin,흉포포켓몬,Hostile Pokémon,아주 난폭하고 항상 빨강과 파랑의 배쓰나이는 다투고 있다. 먹으면 의외로 맛있다고 한다.,"Red and blue Basculin get along so poorly, they’ll start fighting instantly. These Pokémon are very hostile.",옛날에는 식탁에 올랐다. 적색근 배쓰나이의 살코기는 기름이 많아 젊은 층이 좋아한다.,"Though it differs from other Basculin in several respects, including demeanor—this one is gentle—I have categorized it as a regional form given the vast array of shared qualities.",550,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/550.png,70,92,65,80,55,98,water
551,깜눈크,Sandile,사막악어포켓몬,Desert Croc Pokémon,모래 속에 파고들어 눈과 코를 밖에 내놓고 이동한다. 검은 막이 눈을 보호한다.,They live buried in the sands of the desert. The sun-warmed sands prevent their body temperature from dropping.,작지만 하체의 힘은 세다. 모래를 헤치며 사막을 헤엄치듯 이동한다.,"Sandile is small, but its legs and lower body are powerful. Pushing sand aside as it goes, Sandile moves through the desert as if it’s swimming.",551,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/551.png,50,72,35,35,35,65,ground
